misspelled,correct
verticaly,vertically
veryy,very
vey,very
vic versa,vice versa
vise,vice
vlose,close
vlosest,closest
vorrect,correct
vould,would
vslue,value
w erdived,we derived
wa,was
wad,was
wae,way
waere,were
wahat,what
wail,will
wan,want
wanat,want
wandrr,answer
wans,ones
wap,swap
wark,work
wasen't,wasn't
wasnt,wasn't
wasn’ t,wasn't
wass,was
wat,what
watermelone,watermelon
waw,was
waying,away
wayte,white
wbich,which
wby,by
weather,whether
wen,when
wentt,went
werc,work
were as,whereas
weree,were
werent,weren't
werks,works
wern't,weren't
wernt,weren't
wether,whether
wh,why
wharas,whereas
what ever,whatever
whatevers,whatever's
whats,what's
whats ever,whatever
whatsin,what's in
whatt,what
whch,which
whcih,which
whdd,when
whe,when
whem,when
whenn,when
whent,went
whenu,when you
wher,where
where as,whereas
wheree,were
wheress,whereas
whiach,which
whice,which
whichh,which
whichis,which is
whick,which
whih,which
whiles,wholes
whit,white
whitch,which
whitchurch,which
whiteborb,whiteboard
whitebord,whiteboard
whitee,white
whith,with
whivh,which
who h,which
whoel,whole
whoke,whole
whol,whole
whol;e,whole
wholee,whole
wholel,whole
wholess,wholes
wholr,whole
whould,would
whst,what
whuch,which
wic,which
wich,which
wight,white
wihich,which
wikl,will
wil,will
wilk,will
willbe,will be
willgive,will give
willl,will
wirk,work
wirth,worth
wish,which
wit,with
witch,which
witchh,which
wite,white
with out,without
withe,with
withh,with
withouth,without
witht,with
wiuld,would
wn,one
wo,to
wocker,worked
woked,worked
woks,works
wold,would
won',won't
won'at,won't
won'd,won't
wons,ones
wood,would
woould,would
wordss,words
worhing,working
workedd,worked
workes,works
workingg,working
workk,work
workout,work out
workss,works
world,would
worths,worth
wot,what
woud,would
woudent,wouldn't
woudl,would
woukd,would
woul,would
wouldd,would
wouldnt,wouldn't
wouldve,would've
woyuld,would
wright,right
writee,write
wrongg,wrong
wroot,wrote
wshape,shape
wss,was
wth,with
wud,would
wuld,would
wull,will
wuth,with
wy,why
xan,can
xby,by
xhange,change
ximplify,simplify
xing,multiplying
xit,x it
y ou,you
ye,you
yellowwww,yellow
yelow,yellow
yey,the
yhat,that
yhe,the
yhis,this
yiou,you
yiu,you
yiur,your
yku,you
yn,in
yon,you
yoou,you
yopu,you
you'er,you're
you`re,your
youalready,you already
youare,you are
youcan,you can
youd,you'd
youget,you get
youhave,you have
youi,you
youll,you'll
youn,you
yourr,your
yous,used
yoused,used
youst,used
yout,you
youtimes,you times
youu,you
youve,you've
yoy,you
yoᑌ,you
ypou,you
ypu,you
ys,y's
yu,you
yuo,you
yur,your
yw,is
ze,the
zero's,zeros
zeross,zeros
×ed,multiplied
är,are
î,i
šëñśę,sense
ɖ ცɛƈąųʂɛ,d because
ᑎᑌᗰeᖇᗩtoᖇ,numerator
ᕼᗩᐯe,have
ᖴiᖇᔕt,first
ᗩᑎᔕᗯeᖇ,answer
ᗩᑎᗪ,and
ᗪeᑎoᗰiᑎᗩtoᖇ,denominator
ᗪiᐯiᗪe,divide
ᗪo,do
ᗯᕼiᑕᕼ,which
ᗷy,by
ḁͦn̥ͦd̥ͦ,and
ad,add
aloud,allowed
ands,and
apropriout,appropriate
ballets,balls
bracts,brackets
bt,by
bu,by
causes,because
coeloms,columns
colmenn,column
colons,columns
column's,columns
coulor,color
curtain,certain
decahedron,decagon
decimated,decimal
demonstrators,denominators
denomer,denominator
denomination,denominator
denominations,denominators
directing,direction
dominant,denominator
dominate,denominator
dominater,denominator
dominator,denominator
don,down
don;,don't
dotting,dot
dum,sum
elbow,yellow
equivalency,equivalent
equlivilante,equivalent
expsin,explain
fount,found
gever,given
ggest,greatest
gif,give
goung,going
haded,shaded
halting,halving
hanged,changed
impodable,impossible
imposable,impossible
ine,one
isn',isn't
live,leave
luke,like
mine,nine
mk,make
nabers,numbers
neatest,nearest
net,not
nines,ninths
ninth's,ninths
ninthd,ninths
nit,not
nominations,numerators
numb,number
pat,part
pluses,adds
posit,positive
proportionate,proportional
rely,really
shadey,shaded
shading,shaded
shadowed,shaded
shaped,shaded
simplistic,simplest
sine,sign
sized,sides
srctions,fractions
strait,straight
swop,swap
thee,the
thr,the
thrre,three
tiger,figure
tip,top
togehter,together
tow,two
unto,into
ur,your
werk,work
wheras,whereas
wll,wall
wont,won't
wound,would
